"rho","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","rho","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","rho","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","rho","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum"
"rho","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","rho","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","rho","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","rho","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b"
"0.1","0.042","0","0.185","0.063","0.079","0.26","0.003","0","0","0","0.037","0.011","0.045","0.047","0.032","0.062","0.01","0","0","0","0.1","0.021","0","0.329","0.023","0.739","0.722","0","0","0","0","0.013","0","0.036","0.011","0.156","0.159","0","0","0","0","0.1","0.007","0","0.152","0.012","1","1","0","0","0","0","0.007","0","0.051","0.019","0.117","0.118","0","0","0","0","0.1","0.017","0","0.114","0.008","0.39","0.394","0","0","0","0","0.013","0","0.046","0.01","0.025","0.021","0","0","0","0"
"0.2","0.038","0","0.199","0.056","0.063","0.27","0.002","0","0","0","0.038","0.009","0.041","0.039","0.034","0.051","0.008","0","0","0","0.2","0.022","0","0.343","0.017","0.732","0.711","0","0","0","0","0.018","0","0.055","0.006","0.1","0.095","0","0","0","0","0.2","0.003","0","0.141","0.019","1","1","0","0","0","0","0.007","0","0.053","0.013","0.135","0.133","0","0","0","0","0.2","0.014","0","0.105","0.017","0.401","0.404","0","0","0","0","0.012","0","0.046","0.014","0.028","0.022","0","0","0","0"
"0.3","0.038","0","0.174","0.066","0.087","0.287","0","0","0","0","0.041","0.004","0.04","0.041","0.041","0.068","0.008","0","0","0","0.3","0.018","0","0.338","0.007","0.735","0.724","0","0","0","0","0.012","0","0.054","0.007","0.089","0.088","0","0","0","0","0.3","0.003","0","0.131","0.012","1","1","0","0","0","0","0.006","0","0.048","0.009","0.101","0.102","0","0","0","0","0.3","0.014","0","0.105","0.021","0.388","0.389","0","0","0","0","0.019","0","0.041","0.006","0.026","0.02","0","0","0","0"
"0.4","0.041","0","0.187","0.079","0.08","0.315","0.003","0","0","0","0.033","0.004","0.046","0.043","0.031","0.055","0.006","0","0","0","0.4","0.022","0","0.356","0.016","0.729","0.716","0","0","0","0","0.019","0","0.045","0.013","0.068","0.073","0","0","0","0","0.4","0.002","0","0.142","0.011","1","1","0","0","0","0","0.007","0","0.041","0.006","0.09","0.088","0","0","0","0","0.4","0.025","0","0.111","0.021","0.415","0.421","0","0","0","0","0.023","0","0.043","0.016","0.038","0.032","0","0","0","0"
"0.5","0.044","0","0.18","0.066","0.078","0.289","0.001","0","0","0","0.039","0.004","0.046","0.037","0.043","0.054","0.009","0","0","0","0.5","0.019","0","0.382","0.018","0.713","0.696","0","0","0","0","0.015","0","0.054","0.014","0.06","0.058","0","0","0","0","0.5","0.003","0","0.149","0.016","1","1","0","0","0","0","0.009","0","0.058","0.02","0.075","0.076","0","0","0","0","0.5","0.023","0","0.116","0.023","0.42","0.421","0","0","0","0","0.015","0","0.051","0.015","0.031","0.026","0","0","0","0"
"0.6","0.045","0","0.192","0.086","0.071","0.327","0.006","0","0","0","0.042","0.006","0.04","0.027","0.02","0.044","0.006","0","0","0","0.6","0.023","0","0.403","0.016","0.717","0.704","0","0","0","0","0.02","0","0.055","0.012","0.059","0.06","0","0","0","0","0.6","0.006","0","0.135","0.013","1","1","0","0","0","0","0.009","0","0.049","0.013","0.062","0.061","0","0","0","0","0.6","0.016","0","0.114","0.021","0.376","0.363","0","0","0","0","0.009","0","0.054","0.015","0.036","0.039","0","0","0","0"
"0.7","0.047","0","0.178","0.121","0.065","0.38","0.011","0","0","0","0.045","0.006","0.047","0.039","0.025","0.038","0.006","0","0","0","0.7","0.023","0","0.405","0.014","0.702","0.694","0","0","0","0","0.02","0","0.054","0.017","0.039","0.041","0","0","0","0","0.7","0.005","0","0.16","0.015","1","1","0","0","0","0","0.005","0","0.042","0.013","0.066","0.067","0","0","0","0","0.7","0.016","0","0.111","0.015","0.38","0.361","0","0","0","0","0.02","0","0.056","0.011","0.033","0.028","0","0","0","0"
"0.8","0.041","0.001","0.19","0.144","0.067","0.406","0.015","0","0","0","0.038","0.005","0.043","0.047","0.03","0.062","0.014","0","0","0","0.8","0.026","0","0.423","0.02","0.694","0.687","0","0","0","0","0.015","0","0.05","0.011","0.034","0.037","0","0","0","0","0.8","0.009","0","0.143","0.017","1","1","0","0","0","0","0.007","0","0.05","0.011","0.062","0.062","0","0","0","0","0.8","0.022","0","0.117","0.016","0.379","0.346","0","0","0","0","0.015","0","0.038","0.012","0.03","0.028","0","0","0","0"
"0.9","0.054","0.001","0.197","0.216","0.071","0.404","0.033","0","0","0","0.042","0.016","0.044","0.044","0.032","0.058","0.016","0","0","0","0.9","0.026","0","0.394","0.018","0.656","0.666","0","0","0","0","0.019","0","0.054","0.015","0.042","0.044","0","0","0","0","0.9","0.008","0","0.138","0.016","0.998","0.998","0","0","0","0","0.014","0","0.041","0.011","0.055","0.057","0","0","0","0","0.9","0.024","0","0.106","0.019","0.402","0.373","0","0","0","0","0.026","0","0.054","0.021","0.04","0.034","0","0","0","0"
"1","0.043","0.064","0.037","0.065","0.029","0.072","0.047","0","0","0","0.043","0.064","0.037","0.065","0.029","0.072","0.047","0","0","0","1","0.023","0","0.059","0.014","0.035","0.037","0","0","0","0","0.023","0","0.059","0.014","0.035","0.037","0","0","0","0","1","0.005","0","0.046","0.018","0.048","0.048","0","0","0","0","0.005","0","0.046","0.018","0.048","0.048","0","0","0","0","1","0.017","0","0.046","0.014","0.022","0.02","0","0","0","0","0.017","0","0.046","0.014","0.022","0.02","0","0","0","0"
